3x3,"Nov 24, 2018",3.47,Yusheng Du (杜宇生),China,Wuhu Open 2018
3x3,"May 06, 2018",4.22,Feliks Zemdegs,Australia,Cube for Cambodia 2018
3x3,"Jan 27, 2018",4.59,Feliks Zemdegs,Australia,Hobart Summer 2018
3x3,"Oct 28, 2017",4.59,SeungBeom Cho (조승범),Republic of Korea,ChicaGhosts 2017
3x3,"Sep 02, 2017",4.69,Patrick Ponce,United States,Rally In The Valley 2017
3x3,"Dec 11, 2016",4.73,Feliks Zemdegs,Australia,POPS Open 2016
3x3,"Nov 05, 2016",4.74,Mats Valk,Netherlands,Jawa Timur Open 2016
3x3,"Nov 21, 2015",4.90,Lucas Etter,United States,River Hill Fall 2015
3x3,"Apr 25, 2015",5.25,Collin Burns,United States,Doylestown Spring 2015
3x3,"Mar 02, 2013",5.55,Mats Valk,Netherlands,Zonhoven Open 2013
3x3,"Jun 25, 2011",5.66,Feliks Zemdegs,Australia,Melbourne Winter Open 2011
3x3,"Jun 25, 2011",6.18,Feliks Zemdegs,Australia,Melbourne Winter Open 2011
3x3,"May 07, 2011",6.24,Feliks Zemdegs,Australia,Kubaroo Open 2011
3x3,"May 07, 2011",6.65,Feliks Zemdegs,Australia,Kubaroo Open 2011
3x3,"Jan 29, 2011",6.65,Feliks Zemdegs,Australia,Melbourne Summer Open 2011
3x3,"Nov 13, 2010",6.77,Feliks Zemdegs,Australia,Melbourne Cube Day 2010
3x3,"Nov 13, 2010",7.03,Feliks Zemdegs,Australia,Melbourne Cube Day 2010
3x3,"Jul 12, 2008",7.08,Erik Akkersdijk,Netherlands,Czech Open 2008
3x3,"May 05, 2008",8.72,Yu Nakajima (中島悠),Japan,Kashiwa Open 2008
3x3,"May 05, 2008",8.72,Yu Nakajima (中島悠),Japan,Kashiwa Open 2008
3x3,"Feb 23, 2008",9.18,Edouard Chambon,France,Murcia Open 2008
3x3,"Nov 24, 2007",9.55,Ron van Bruchem,Netherlands,Dutch Championship 2007
3x3,"Oct 13, 2007",9.77,Erik Akkersdijk,Netherlands,Dutch Open 2007
3x3,"May 05, 2007",9.86,Thibaut Jacquinot,France,Spanish Open 2007
3x3,"Feb 24, 2007",10.36,Edouard Chambon,France,Belgian Open 2007
3x3,"Aug 04, 2006",10.48,Toby Mao (毛台立),United States,US Nationals 2006
3x3,"Jan 14, 2006",11.13,Leyan Lo,United States,Caltech Winter competition 2006
3x3,"Oct 16, 2005",11.75,Jean Pons,France,Dutch Open 2005
3x3,"Apr 03, 2004",12.11,Shotaro Makisumi (牧角章太郎),Japan,Caltech Spring competition 2004
3x3,"Apr 03, 2004",13.93,Shotaro Makisumi (牧角章太郎),Japan,Caltech Spring competition 2004
3x3,"Jan 24, 2004",14.76,Shotaro Makisumi (牧角章太郎),Japan,Caltech Winter competition 2004
3x3,"Jan 24, 2004",15.07,Shotaro Makisumi (牧角章太郎),Japan,Caltech Winter competition 2004
3x3,"Aug 23, 2003",16.53,Jess Bonde,Denmark,World Rubik's Games Championship 2003
3x3,"Aug 23, 2003",16.71,Dan Knights,United States,World Rubik's Games Championship 2003
3x3,"Jun 05, 1982",22.95,Minh Thai,United States,World Rubik's Cube Championship 1982
2x2,"Mar 19, 2016",0.49,Maciej Czapiewski,Poland,Grudziądz Open 2016
2x2,"Jun 06, 2015",0.58,Rami Sbahi,United States,Canadian Open 2015
2x2,"Nov 12, 2011",0.69,Christian Kaserer,Italy,Trentin Open 2011
2x2,"Feb 12, 2011",0.96,Vincent Sheu,United States,Berkeley Winter 2011
